순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,BRDCST_DE,방송일자,VARCHAR,8,Y,Y
2,BRDCST_END_DE,방송종료일자,VARCHAR,8,Y,Y
3,CHNNEL_NM,채널명,VARCHAR,200,Y,Y
4,PROGRM_BEGIN_TIME,프로그램시작시간,VARCHAR,6,Y,Y
5,PROGRM_END_TIME,프로그램종료시간,VARCHAR,6,N,Y
6,PROGRM_NM,프로그램명,VARCHAR,200,N,Y
7,PROGRM_DC,프로그램설명,VARCHAR,500,N,N
8,BRDCST_TME_NM,방송회차명,VARCHAR,200,N,N
9,PROGRM_BRDCST_AREA_NM,프로그램방송지역명,VARCHAR,200,N,Y
10,BRDCST_TIME,방송시간,VARCHAR,6,N,Y
11,PROGRM_GENRE_LCLAS_NM,프로그램장르대분류명,VARCHAR,200,N,Y
12,PROGRM_GENRE_MLSFC_NM,프로그램장르중분류명,VARCHAR,200,N,Y
13,PROGRM_GENRE_SCLAS_NM,프로그램장르소분류명,VARCHAR,200,N,Y
14,MALE_4_9YO_WTCHNG_RT,남자4_9세시청율,DECIMAL,"28,5",N,Y
15,MALE_N10S_WTCHNG_RT,남자10대시청율,DECIMAL,"28,5",N,Y
16,MALE_N20S_WTCHNG_RT,남자20대시청율,DECIMAL,"28,5",N,Y
17,MALE_N30S_WTCHNG_RT,남자30대시청율,DECIMAL,"28,5",N,Y
18,MALE_N40S_WTCHNG_RT,남자40대시청율,DECIMAL,"28,5",N,Y
19,MALE_N50S_WTCHNG_RT,남자50대시청율,DECIMAL,"28,5",N,Y
20,MALE_N60S_ABOVE_WTCHNG_RT,남자60대이상시청율,DECIMAL,"28,5",N,Y
21,FEMALE_4_9YO_WTCHNG_RT,여자4_9세시청율,DECIMAL,"28,5",N,Y
22,FEMALE_N10S_WTCHNG_RT,여자10대시청율,DECIMAL,"28,5",N,Y
23,FEMALE_N20S_WTCHNG_RT,여자20대시청율,DECIMAL,"28,5",N,Y
24,FEMALE_N30S_WTCHNG_RT,여자30대시청율,DECIMAL,"28,5",N,Y
25,FEMALE_N40S_WTCHNG_RT,여자40대시청율,DECIMAL,"28,5",N,Y
26,FEMALE_N50S_WTCHNG_RT,여자50대시청율,DECIMAL,"28,5",N,Y
27,FEMALE_N60S_ABOVE_WTCHNG_RT,여자60대이상시청율,DECIMAL,"28,5",N,Y
28,CST_CN,출연진내용,VARCHAR,1000,N,Y